Name,NA,Symbol,Family,PF,PE,Densidad,PA,RadioAtomico,PrimeraIP,specific heatcapacity,thermal conductivity,electrical conductivity,heat of fusion,Heat of Vaporization,Electro- negativity,mg/kg crust,Year
copper,29,Cu,Transition Metal,1357,2855,8.96,63.5,1.57,7.73,0.39,4.0E+02,6.1E+01,13,301,1.9,6.0E+01,ancient
zinc,30,Zn,Transition Metal,693,1184,7.13,65.4,1.53,9.39,0.39,1.2E+02,1.7E+01,7,115,1.7,7.0E+01,ancient
gallium,31,Ga,Boron,303,2253,5.91,69.7,1.81,6.00,0.37,4.1E+01,1.8E+00,6,256,1.8,1.9E+01,1875
germanium,32,Ge,Carbon,1212,3125,5.32,72.6,1.52,7.90,0.32,6.0E+01,3.0E-06,32,334,2.0,1.5E+00,1886
arsenic,33,As,Pnictide,1090,885,5.78,74.9,1.33,9.81,0.33,5.0E+01,3.8E+00,28,32,2.2,1.8E+00,ancient
selenium,34,Se,Chalcogen,494,958,4.79,79.0,1.22,9.75,0.32,2.0E+00,8.0E+00,6,26,2.6,5.0E-02,1818
bromine,35,Br,Halogen,266,332,3.12,79.9,1.12,11.81,0.23,1.2E-01,1.0E-16,5,15,3.0,2.4E+00,1826
krypton,36,Kr,Noble gas,116,120,3.75,83.8,01.03,14.00,0.25,9.5E-03,,2,9,,1.0E-04,1898
rubidium,37,Rb,Alkali Metal,313,967,1.532,85.5,2.98,4.18,0.36,5.8E+01,4.8E+01,2,69,0.8,9.0E+01,1861
strontium,38,Sr,Alkaline Earth,1042,1654,2.54,87.6,2.45,5.70,0.30,3.5E+00,5.0E+00,8,137,1.0,3.7E+02,1790
yttrium,39,Y,Transition Metal,1795,3577,4.47,88.9,2.27,6.38,0.30,1.7E+01,1.8E+00,17,393,1.2,3.3E+01,1789
zirconium,40,Zr,Transition Metal,2128,4777,6.51,91.2,2.16,6.34,0.28,2.3E+01,2.3E+00,21,591,1.3,1.7E+02,1789
niobium,41,Nb,Transition Metal,2742,5136,8.57,92.9,02.08,6.88,0.27,5.4E+01,6.6E+00,27,690,1.6,2.0E+01,1801
molybdenum,42,Mo,Transition Metal,2896,4919,10.22,95.9,02.01,7.10,0.25,1.4E+02,1.7E+01,36,590,2.2,1.2E+00,1778
technetium,43,Tc,Transition Metal,2477,4840,11.5,98.0,1.95,7.28,0.24,5.1E+01,1.0E-03,23,502,1.9,,1937
ruthenium,44,Ru,Transition Metal,2610,4392,12.37,101.1,1.89,7.37,0.24,1.2E+02,1.5E+01,26,568,2.2,1.0E-03,1844
rhodium,45,Rh,Transition Metal,2236,4000,12.41,102.9,1.83,7.46,0.24,1.5E+02,2.3E+01,22,495,2.3,1.0E-03,1803
palladium,46,Pd,Transition Metal,1825,3213,12,106.4,1.79,8.34,0.24,7.2E+01,1.0E+01,17,393,2.2,1.5E-02,1803
silver,47,Ag,Transition Metal,1235,2437,10.5,107.9,1.75,7.58,0.24,4.3E+02,6.3E+01,11,251,1.9,7.5E-02,ancient
cadmium,48,Cd,Transition Metal,594,1040,8.65,112.4,1.71,8.99,0.23,9.7E+01,1.5E+01,6,100,1.7,1.5E-01,1817
indium,49,In,Boron,430,2343,7.31,114.8,2,5.79,0.23,8.2E+01,3.4E+00,3,226,1.8,2.5E-01,1863
tin,50,Sn,Carbon,505,2896,7.31,118.7,1.72,7.34,0.23,6.7E+01,8.7E+00,7,290,2.0,2.3E+00,ancient
antimony,51,Sb,Pnictide,904,1913,6.69,121.8,1.53,8.64,0.21,2.4E+01,2.6E+00,20,68,2.1,2.0E-01,ancient
tellurium,52,Te,Chalcogen,723,1282,6.24,127.6,1.42,09.01,0.20,2.4E+00,2.0E-04,17,51,2.1,1.0E-03,1782
iodine,53,I,Halogen,387,457,4.93,126.9,1.32,10.45,0.15,4.5E-01,1.0E-11,8,21,2.7,4.5E-01,1811
xenon,54,Xe,Noble gas,161,165,5.9,131.3,1.24,12.13,0.16,5.7E-03,,2,13,,3.0E-05,1898
cesium,55,Cs,Alkali Metal,302,952,1.87,132.9,3.34,3.89,0.24,3.6E+01,5.3E+00,2,68,0.8,3.0E+00,1860
barium,56,Ba,Alkaline Earth,1002,2122,3.59,137.3,2.76,5.21,0.20,1.8E+01,2.8E+00,8,140,0.9,4.3E+02,1808
hafnium,72,Hf,Transition Metal,2504,4723,13.31,178.5,2.16,6.65,0.14,2.3E+01,3.4E+00,22,661,1.3,3.0E+00,1923
tantalum,73,Ta,Transition Metal,3293,5786,16.65,180.9,02.09,7.89,0.14,5.8E+01,8.1E+00,36,737,1.5,2.0E+00,1802
tungsten,74,W,Transition Metal,3695,5936,19.3,183.9,02.02,7.98,0.13,1.7E+02,1.8E+01,35,423,2.4,1.3E+00,1783
rhenium,75,Re,Transition Metal,3455,5960,21,186.2,1.97,7.88,0.14,4.8E+01,5.8E+00,33,707,1.9,7.0E-04,1925
osmium,76,Os,Transition Metal,3300,5770,22.6,190.2,1.92,8.70,0.13,8.8E+01,1.2E+01,29,628,2.2,1.5E-03,1804
iridium,77,Ir,Transition Metal,2720,4662,22.6,192.2,1.87,9.10,0.13,1.5E+02,2.1E+01,26,564,2.2,1.0E-03,1804
platinum,78,Pt,Transition Metal,2042,4097,21.45,195.1,1.83,9.00,0.13,7.2E+01,9.4E+00,20,510,2.3,5.0E-03,1735
gold,79,Au,Transition Metal,1338,3081,19.3,197.0,1.79,9.23,0.13,3.2E+02,4.9E+01,12,324,2.5,4.0E-03,ancient
mercury,80,Hg,Transition Metal,234,630,13.55,200.6,1.76,10.44,0.14,8.3E+00,1.0E+00,2,59,2.0,8.5E-02,ancient
thallium,81,Tl,Boron,577,1760,11.85,204.4,02.08,6.11,0.13,4.6E+01,5.6E+00,4,162,2.0,8.5E-01,1861
lead,82,Pb,Carbon,601,2024,11.35,207.2,1.81,7.42,0.13,3.5E+01,4.8E+00,5,178,2.3,1.4E-01,ancient
bismuth,83,Bi,Pnictide,545,1852,9.75,209.0,1.63,7.29,0.12,7.9E+00,9.0E-01,11,179,2.0,8.5E-03,ancient
polonium,84,Po,Chalcogen,527,1235,9.3,209.0,1.53,8.42,,2.0E+01,7.0E-01,13,120,2.0,2.0E-10,1898
astatine,85,At,Halogen,575,607,,210.0,1.43,,,1.7E+00,,12,30,2.2,,1940
radon,86,Rn,Noble gas,202,211,9.73,222.0,1.34,10.75,0.09,3.6E-03,,3,16,,4.0E-13,1898
francium,87,Fr,Alkali Metal,300,,,223.0,2.7,,,1.5E+01,,2,64,0.7,,1939
radium,88,Ra,Alkaline Earth,973,2010,5,226.0,2.23,5.28,0.09,1.9E+01,1.0E+00,8,137,0.9,9.0E-07,1898
